"question","prediction","references"
"What is happening in the audio?","Traffic sounds are present, and an adult male speaks. The traffic sounds include a vehicle driving","Here comes the train and it starts to blow the horn and get close
A train horn sounds and railroad crossing ring
A train horn sounds and approaches as crossing bells ring
A horn is blown and increases in strength
A horn loudly blares"
"What is happening in the audio?","Someone speaks while someone snores nearby several times at moderate volume, followed by a person","Young female child snoring and breathing deeply
A recorded voice speaks briefly as a man snores
A man snores loudly as a recorded voice speaks in the background
A person snores as birds chirp softly in the distance
Distant faint rustling and clattering with nearby wheezing and snoring"
"What is happening in the audio?","An engine chugs and sputters before starting to run smoothly as a man speaks over","Some men converse over an engine running
A motorcycle engine revs and a man speaks
A man speaks as a small engine revs
A motorcycle engine revs as a man speaks
A motorcycle engine runs and a man speaks"
"What is happening in the audio?","Chimes and a rhythmic ticktock then a wind up click and a bird chir","A consistent ticking pattern
A clock ticktocks continuously
A repeated ticking
The ticktock of a clock arm repeatedly moving back and forth
A clock ticktocks"
"What is happening in the audio?","Wind blows hard and a man speaks while a bird chirps nearby and water splash","Water splashes and wind noise is made into a microphone
Water splashes and wind blows as birds chirp
The wind blares loudly against some clothing and water splashes in a river
Water splashes as wind noise takes place in a microphone
Water splashes and wind blows"
"What is happening in the audio?","Car engine revving and speeding away with some background speech at the end of a call. [","A race car approaches quickly and slows down squealing tires
A mechanical buzzing getting louder
A vehicle accelerates before slowing down and squealing tires
A race car approaches quickly squealing tires
A race car accelerates quickly before decelerating and squealing tires"
"What is happening in the audio?","Water running into a sink alongside light music then speech followed by more water running from faucet into","A man speaks while a machine runs before a smoke alarm beeps
A man speaks, followed by an electronic beep and another man speaking
A man speaks and a smoke alarm beeps
A man speaks then makes a device beep
A man speaks followed by a two beeps and another man speaking"
"What is happening in the audio?","Heavy wind and muffled speech from a crowd talking while horns are triggered by an adult","A boat engine runs and wind blows while a man speaks and women scream
A boat runs and wind blows while a man speaks and women cheer
An engine buzzing with wind and brief speech
Humming of a motor with people screaming then a woman speaks as wind blows hard and water splashes
Girls scream and a man speaks as wind blows and a boat motor runs"
"What is happening in the audio?","An engine revving and a man speaking with some light murmuring in the background. The men speak","A person uses a saw to cut some wood
An engine rumbling followed by a mechanical buzzing
An engine revs loudly followed by some men talking and a saw cutting through metal
An engine idles continuously
An engine runs and people speak as cutting takes place"
"What is happening in the audio?","Birds chirp and a man speaks as pigeons coo and an engine id","Someone whistles a tune
Someone whistles a tune
A person is whistling
Someone whistles a song
A person whistling a melody"
"What is happening in the audio?","Running engine of a vehicle outside with man speaking in the background as traffic passes by in the distance and","A man speaks as a car is passing by
A man speaks as a car is passing by
A man talks while vehicles pass by
A man speaks and wind blows while a car is passing by
A man speaks while wind blows and a car is passing by"
"What is happening in the audio?","Someone laughs meanly multiple times followed by a baby that also laughsmeanly back as","Loud intermittent buzzing with intermittent laughter
A baby laugh at a sputter
Someone makes a blowing sound and a baby laughs
A person makes a snoring noise and a baby laughs
A person blows raspberries while a baby laughs"
"What is happening in the audio?","Someone snores steadily nearby as a person laughs and another one talks followed by a","Someone snores nearby
Continuous snoring
A person snores
Someone is snoring while sleeping
A person is snoring while sleeping"
"What is happening in the audio?","Ambient sound inside a poultry house. (particularly chicken coop)..","Several ducks quack and cocks crow far away
Ducks quack continuously
Ducks quack lazily as other birds call out in the distance
A rooster crows and a duck quacks while people speak in the background
Cows moo and are then joined by rooster crowing and then ducks quacking"
"What is happening in the audio?","A spraying sound with a man talking and some hissing sounds at end. Then music starts","A man sprays as a scraping occurs in the background
A man speaks as a scratching occurs
A man speaks over soft spraying noises
A grown man speaks over soft rubbing
An adult male speaks over continuous rubbing noise"
"What is happening in the audio?","Dishes clinking and clacking with faint speech in the background as a clock rings on the","Dishes cling together then a man begins to speak
Metal rumbles followed by a kid giggles then more metal rumbling followed by a guy speaking
Pots and pans clash together as a child laughs
Objects continually beat onto a hard surface
Loud, rapid clanking followed by brief speech"
"What is happening in the audio?","Air sprays, a train trumpets and people speak quietly nearby. The wind blows","Water is sprayed across a hard surface
Someone sprays liquid onto a hard surface
Water is sprayed across a firm surface
A liquid is sprayed onto a hard surface
Someone sprays a liquid onto a hard surface"
"What is happening in the audio?","A person snoring and another man speaking briefly followed by a toilet flushing twice and people","A person snores loudly multiple times at a close distance
A person snores hilariously while someone laughs
A person is snoring with people laughing.
A person snores hilariously as someone laughs
Someone snores while a person laughs"
"What is happening in the audio?","Dog whimpering and man laughing then dog growling at man as he laughs. The","A dog barks and whimpers
Small dogs growl, bark and yip.
Whippering and grunting from a group of young pups
A dog whimpers and barks
Dogs bark and whimper"
"What is happening in the audio?","Wind blowing with a distant muffled speech and water splashing before a group of men","A woman speaks in a fast tone with a male
People speak in a closed space
Multiple people speak
Multiple people speak as vehicle horns blow
Multiple people speak as vehicle horns blow"
"What is happening in the audio?","Leaves rustling with far-off crowded speech, ducks quacking and a man","A bird chirps followed by a door bell ringing that causes a woman to gasp and the music plays
Birds chirp then a doorbell rings and a woman sighs when a doorbell rings
A bird chirp followed by a door bell that leads to a woman gasping and then some music plays
Birds chirp followed by some dings, a woman gasping, and some music
A bell chimes quietly while a bird chirps and a woman gasps as ominous music plays"
"What is happening in the audio?","Bell ringing a tune with some rustling of fabric in the background as well as people speaking","A church bell rings several times
A bell rings out loudly
A bell rings out loudly
A large bell rings
A large bell rings and echoes"
"What is happening in the audio?","A person talking then a clank of metal followed by another person talking and more people talking after that","Loud clanking and banging with brief male speech
A machine clanks and thumps and a male speaks
A machine runs haltingly and then an adult male talks
A sewing machine runs slowly then a man speaks
Humming and vibrations of a small machine with a man speaking"
"What is happening in the audio?","A music clip plays on a television while people talk nearby and laughs are heard. Then, something","Water quietly rushes by while birds chirp in the background
Wind blows and a stream of water flows nearby
A door slides shut, wind blows, and birds chirp
A door slides shut amid light wind and chirping birds
Wind gusts near a stream as birds chirp"
"What is happening in the audio?","Multiple cars racing with revving engines and faint speech in background followed by a horn honking several times","Vehicle engines race around a track as a man commentates
Vehicle engines accelerate as a man commentates on an intercom
Several cars move nearby while people talk
Motorcycles pass by as a man speaks into a loudspeaker
Motors sputter over an indistinct conversation"
"What is happening in the audio?","A woman talks while a pan sizzles then fries some foods and she laughs","Food is moved around in a dish before a woman speaks
Something rustling followed by a woman speaks and dishes move
Food is moved around in a dish then a woman speaks
Someone moves food around in dishes and speaks
Some rustling and a woman speaks"
"What is happening in the audio?","Large vehicle engine running, squeaking and hissing from brakes, people speaking faintly","A small engine spits as it runs
A diesel truck engine runs continuously
A diesel truck engine idles outside
An engine runs loudly
A diesel truck engine runs steadily"
"What is happening in the audio?","A man speaking followed by a gun fire and more speech from the man. The gun fire is followed","A man speaks as water trickles down a stream
A man speaks while water trickles and flows
A man talks nearby and another man talks far away while some liquid flows
Water trickles down as men speak
Some men converse while water bubbles in the background"
"What is happening in the audio?","Crinkling occurs, then an adult female speaks and another woman laughs softly in the","People speak and laugh as a child speaks
Several people talk and laugh followed by someone coughing
Some kids speak followed by coughing and then more speaking
Several people talk and laugh and a boy caught deeply
People speak and children laugh"
"What is happening in the audio?","Someone whistles a tune, then starts to whistle a different song with more","A person is whistling a tune
A person is whistling
A person is whistling a tune
Someone whistles a tune very smoothly
A meandering tune is whistled"
"What is happening in the audio?","People laughing and a man speaking followed by another man talking after a brief silence with people clapping","A vehicle accelerates squealing tires
Engines run and fade into the distance
A vehicle accelerates squealing tires
A vehicle accelerates and squeals tires
Humming of a powerful passing engine speeding by"
"What is happening in the audio?","An adult male speaks, and a dog growls then barks several times nearby as music plays","Water splashes and a door squeaks
A toilet door squeaks as it is opened
Water drips and a door squeaks
Dripping water with toilet flush and squeak
A toilet flushes and water drains"
"What is happening in the audio?","People speak with wind and clip clops of a horse while birds chirp quietly in the background","A horse runs while two women talk
A woman yells and speaks as birds chirp in the distance.
A camera rustles around as birds chirp and women speak
A tapping occurs and a girl speaks
A woman yells and fidgets over insect noises"
"What is happening in the audio?","Rustling with a train passing by and steam hissing out of its engine. Then, a","A steam engine runs and whistles as it passes by
A whistle blows as a train chugs by
A train chugs nearby while blowing a horn
A train chugs along as its steam whistle screeches loudly and it moves on the track
A steam train moves along a set of tracks and blows a horn"
"What is happening in the audio?","Water trickles while a toilet flushes and then stops with a soft splash. The","A muffled toilet flushes and the water drains
A toilet flushes and water drains
A toilet flushes and water drains
A toilet flushes once
A toilet flushes and water drains"
"What is happening in the audio?","A man speaking then typing on a keyboard before verbalizing and laughing followed by another person talking","Banging metal, then crinkling paper, followed by a woman mumbling and a man grunting
Someone shuffles around objects and sighs
A door opens and plastic is crumpled
A clang followed by some plastic rustling
Paper rustles as objects bang and clatter"
"What is happening in the audio?","An engine works nearby, and then a helicopter whirs as it flies by very close","An engine increases in power as it runs
An aircraft making a sustained, high-pitched engine noise
An engine buzzing consistently
A high pitched engine runs
An aircraft engine runs"
"What is happening in the audio?","Water flowing and gurgling with leaves rustling and distant speech before a horn honks and","A man speaks as a vehicle engine idles
A man speaks as a vehicle engine idles
A man speaks with a low rumble in the background
Two adult men speak over an engine running
An adult male speaks over low engine noise"
"What is happening in the audio?","A crowd cheers as a speaker speaks then a man sings an aria followed by several seconds","A large crowd cheers and applauds
An audience screams and gives applause
Continuous applause and cheering
An audience screams and gives applause
An audience cheers"
"What is happening in the audio?","Engine starting and stopping, a man speaks then laughs, another man talks while something b","Popping and crackling repeats as men yell and laugh
A vehicle is running and crackling and popping as people laugh
People yell and laugh as a motor sputters and pops
Men screeching and shouting while a vehicle is revving and backfiring loudly
People yell and laugh as a vehicle approaches and sputters"
"What is happening in the audio?","Wind blows into a microphone as water splashes and rushes along with an engine","An engine idles consistently before sputtering some
A motorcycle engine is idling
A sputtering motor idles roughly
Sputtering and clanking of an idling powerful engine
An engine is idling while people speak"
"What is happening in the audio?","Birds chirp and a goat baaes while wind blows into a microphone","A toilet flushes quickly
A toilet flushes loudly and water runs down through the toilet and then gurgles at the bottom
A toilet flushes and water drains
A loud rumble followed by a toilet flushing
A toilet flushes and water drains"
"What is happening in the audio?","Engine revving and squeaking tires as a car accelerates and moves forward then stops briefly","Distant men speak as a spray can nozzle is depressed
While a man talks in the distance, a sprayer sprays multiple times
Intermittent spraying is accompanied by men speaking
A spray hisses followed by a man speaking and low rumbling in the background
A person sprays liquid onto a hard surface as a man speaks and vehicles pass by"
"What is happening in the audio?","Something crunches on the ground followed by a man talking and birds chirping in the background","A man speaks as crickets sing
A man speaks as crickets sing
A man speaks as crickets sing
A man speaks as crickets sing
Insects chirp and men speak"
"What is happening in the audio?","Soft voices and rustling followed by a loud splash as water gushes out of a","Several insects fly while two men talk
Insects buzz and men speak
Many insects are buzzing as a man are speaking
Insects buzz as men speak
Insects buzz around and men talk"
"What is happening in the audio?","A man speaks and a woman laughs as dishes are smashed on a hard surface.","A man talks followed by a woman shouting
A man speaks as water overflows making a hiss noise and a woman yells
A man speaks then a woman yells
A man speaks then a woman panics
An adult man speaks and a woman exclaims nervously"
"What is happening in the audio?","Loud siren going off with traffic noises in the background then getting louder as it","A motor vehicle roars, drowning out people speaking in the background
Water rushes and then a vehicle zooms past
Water rushes by followed by a motorcycle zooming by in the distance
A motor vehicle accelerate
A vehicle with a diesel engine accelerates"
"What is happening in the audio?","Man speaking with rain falling and thunder cracking in distance then a gush of water followed by","A motor runs and stops, and animals squawk and croak
Submachine gun fire along with creature sound effects that continues after gunfire stops
Gunshots fire as a frog croaks
A motor sputters, animals croak, and a person exclaims
A motor runs choppily, followed by an animal croaking, and a person exclaiming"
"What is happening in the audio?","Woman speaking followed by metal banging and squeaking then a neigh of a horse passing by while","Birds chirp in the background while a horse neighs followed by a girl speaking
A young woman speaks and then a horse neighs in the background
A horse neighs and a girl talks
A bird tweets, a horse whinnies, and a girl speaks
Birds chirp then a girl speaks and a horse neighs"
"What is happening in the audio?","A train horn blows loudly and a train engine chugs slowly nearby as a man speaks","A soft wind underscores a woman laughing
Distant waters roar amid foreground jostling and a gasp
Water is gurgling in a tank
Water is gurgling in a tank
Water is gurgling in a tank"
"What is happening in the audio?","Traffic sounds are present and a man speaks while metal clanks then a motorcycle drives by","Here comes the train and it starts to blow the horn and get close
A train horn sounds and railroad crossing ring
A train horn sounds and approaches as crossing bells ring
A horn is blown and increases in strength
A horn loudly blares"
"What is happening in the audio?","An adult female speaks while an adult male snores nearby, and another adult female talks briefly","Young female child snoring and breathing deeply
A recorded voice speaks briefly as a man snores
A man snores loudly as a recorded voice speaks in the background
A person snores as birds chirp softly in the distance
Distant faint rustling and clattering with nearby wheezing and snoring"
"What is happening in the audio?","A lawn mower engine chugging away with a man speaking and metal clanking at","Some men converse over an engine running
A motorcycle engine revs and a man speaks
A man speaks as a small engine revs
A motorcycle engine revs as a man speaks
A motorcycle engine runs and a man speaks"
"What is happening in the audio?","Chimes and then a rhythmic ticktock before a soft female voice speaks followed by","A consistent ticking pattern
A clock ticktocks continuously
A repeated ticking
The ticktock of a clock arm repeatedly moving back and forth
A clock ticktocks"
"What is happening in the audio?","Wind blows and a baby cries, followed by an adult woman speaking faintly You","Water splashes and wind noise is made into a microphone
Water splashes and wind blows as birds chirp
The wind blares loudly against some clothing and water splashes in a river
Water splashes as wind noise takes place in a microphone
Water splashes and wind blows"
"What is happening in the audio?","Car engine running then overtaking with a horn honking and tires squealing as wind","A race car approaches quickly and slows down squealing tires
A mechanical buzzing getting louder
A vehicle accelerates before slowing down and squealing tires
A race car approaches quickly squealing tires
A race car accelerates quickly before decelerating and squealing tires"
"What is happening in the audio?","An engine revs and a horn blows as rain pours down lightly before stopping and a","A man speaks while a machine runs before a smoke alarm beeps
A man speaks, followed by an electronic beep and another man speaking
A man speaks and a smoke alarm beeps
A man speaks then makes a device beep
A man speaks followed by a two beeps and another man speaking"
"What is happening in the audio?","Wind blows then a motor starts running and people ooh and ahh with excitement (a child","A boat engine runs and wind blows while a man speaks and women scream
A boat runs and wind blows while a man speaks and women cheer
An engine buzzing with wind and brief speech
Humming of a motor with people screaming then a woman speaks as wind blows hard and water splashes
Girls scream and a man speaks as wind blows and a boat motor runs"
"What is happening in the audio?","Train engine running and horn honking followed by railroad crossing warning bell ringing and train engine rev","A person uses a saw to cut some wood
An engine rumbling followed by a mechanical buzzing
An engine revs loudly followed by some men talking and a saw cutting through metal
An engine idles continuously
An engine runs and people speak as cutting takes place"
"What is happening in the audio?","Birds chirping and rustling leaves, followed by an engine starting up and a horn hon","Someone whistles a tune
Someone whistles a tune
A person is whistling
Someone whistles a song
A person whistling a melody"
"What is happening in the audio?","A man speaks as a vehicle engine purrs in the background before a loud horn beeps","A man speaks as a car is passing by
A man speaks as a car is passing by
A man talks while vehicles pass by
A man speaks and wind blows while a car is passing by
A man speaks while wind blows and a car is passing by"
"What is happening in the audio?","Someone snores loudly and then makes fart noises, followed by more snoring and","Loud intermittent buzzing with intermittent laughter
A baby laugh at a sputter
Someone makes a blowing sound and a baby laughs
A person makes a snoring noise and a baby laughs
A person blows raspberries while a baby laughs"
"What is happening in the audio?","Continuous snoring followed by a person gently speaking then a door quietly closing and someone soft","Someone snores nearby
Continuous snoring
A person snores
Someone is snoring while sleeping
A person is snoring while sleeping"
"What is happening in the audio?","Several chickens squawking followed by a man speaking and rustling of paper occurs in the","Several ducks quack and cocks crow far away
Ducks quack continuously
Ducks quack lazily as other birds call out in the distance
A rooster crows and a duck quacks while people speak in the background
Cows moo and are then joined by rooster crowing and then ducks quacking"
"What is happening in the audio?","A person talks followed by spraying then more talking and sprays repeatedly with a loud","A man sprays as a scraping occurs in the background
A man speaks as a scratching occurs
A man speaks over soft spraying noises
A grown man speaks over soft rubbing
An adult male speaks over continuous rubbing noise"
"What is happening in the audio?","Dishes clink and people speak while pigs squeal loudly nearby as chimes ring","Dishes cling together then a man begins to speak
Metal rumbles followed by a kid giggles then more metal rumbling followed by a guy speaking
Pots and pans clash together as a child laughs
Objects continually beat onto a hard surface
Loud, rapid clanking followed by brief speech"
"What is happening in the audio?","A vehicle engine running followed by a loud horn and then passing traffic noise with people speaking in the background","Water is sprayed across a hard surface
Someone sprays liquid onto a hard surface
Water is sprayed across a firm surface
A liquid is sprayed onto a hard surface
Someone sprays a liquid onto a hard surface"
"What is happening in the audio?","Man speaking followed by a loud burp and then more speech. The man speaks again briefly before","A person snores loudly multiple times at a close distance
A person snores hilariously while someone laughs
A person is snoring with people laughing.
A person snores hilariously as someone laughs
Someone snores while a person laughs"
"What is happening in the audio?","Dogs barking and growling followed by a woman speaking then more dogs bark and grow","A dog barks and whimpers
Small dogs growl, bark and yip.
Whippering and grunting from a group of young pups
A dog whimpers and barks
Dogs bark and whimper"
"What is happening in the audio?","A vehicle engine operates followed by people talking then a splashing sound as something hits water and","A woman speaks in a fast tone with a male
People speak in a closed space
Multiple people speak
Multiple people speak as vehicle horns blow
Multiple people speak as vehicle horns blow"
"What is happening in the audio?","A man speaks and then a sheep bleats followed by more speech and another bleat from the","A bird chirps followed by a door bell ringing that causes a woman to gasp and the music plays
Birds chirp then a doorbell rings and a woman sighs when a doorbell rings
A bird chirp followed by a door bell that leads to a woman gasping and then some music plays
Birds chirp followed by some dings, a woman gasping, and some music
A bell chimes quietly while a bird chirps and a woman gasps as ominous music plays"
"What is happening in the audio?","Church bells chiming loudly multiple times, with a brief moment of silence beforehand followed by","A church bell rings several times
A bell rings out loudly
A bell rings out loudly
A large bell rings
A large bell rings and echoes"
"What is happening in the audio?","A drill motor runs, a man speaks then stops speaking and a door shutters behind him","Loud clanking and banging with brief male speech
A machine clanks and thumps and a male speaks
A machine runs haltingly and then an adult male talks
A sewing machine runs slowly then a man speaks
Humming and vibrations of a small machine with a man speaking"
"What is happening in the audio?","A drill being used followed by a man speaking as wood fractures and metal clinks against","Water quietly rushes by while birds chirp in the background
Wind blows and a stream of water flows nearby
A door slides shut, wind blows, and birds chirp
A door slides shut amid light wind and chirping birds
Wind gusts near a stream as birds chirp"
"What is happening in the audio?","Multiple motorcycles revving and a man speaking briefly before a burst of wind blows followed by","Vehicle engines race around a track as a man commentates
Vehicle engines accelerate as a man commentates on an intercom
Several cars move nearby while people talk
Motorcycles pass by as a man speaks into a loudspeaker
Motors sputter over an indistinct conversation"
"What is happening in the audio?","Water is running softly while a woman speaks briefly and then starts to laugh lightheartedly as","Food is moved around in a dish before a woman speaks
Something rustling followed by a woman speaks and dishes move
Food is moved around in a dish then a woman speaks
Someone moves food around in dishes and speaks
Some rustling and a woman speaks"
"What is happening in the audio?","A truck engine revs and idles loudly nearby as a person speaks faintly in","A small engine spits as it runs
A diesel truck engine runs continuously
A diesel truck engine idles outside
An engine runs loudly
A diesel truck engine runs steadily"
"What is happening in the audio?","A man speaks, then a file drills as music plays softly in the background followed by","A man speaks as water trickles down a stream
A man speaks while water trickles and flows
A man talks nearby and another man talks far away while some liquid flows
Water trickles down as men speak
Some men converse while water bubbles in the background"
"What is happening in the audio?","Woman talking and running a sewing machine, followed by clanking of metal objects together. The","People speak and laugh as a child speaks
Several people talk and laugh followed by someone coughing
Some kids speak followed by coughing and then more speaking
Several people talk and laugh and a boy caught deeply
People speak and children laugh"
"What is happening in the audio?","Someone whistles a melody loudly and clearly. The whistling sounds continuous and","A person is whistling a tune
A person is whistling
A person is whistling a tune
Someone whistles a tune very smoothly
A meandering tune is whistled"
"What is happening in the audio?","A man speaking followed by a burst of laughter from a group of people as they talk and laugh","A vehicle accelerates squealing tires
Engines run and fade into the distance
A vehicle accelerates squealing tires
A vehicle accelerates and squeals tires
Humming of a powerful passing engine speeding by"
"What is happening in the audio?","Birds chirping followed by a toilet flushing and child laughing then door shut","Water splashes and a door squeaks
A toilet door squeaks as it is opened
Water drips and a door squeaks
Dripping water with toilet flush and squeak
A toilet flushes and water drains"
"What is happening in the audio?","People speak and laugh while a horse neighs repeatedly followed by someone who talks and shouts then","A horse runs while two women talk
A woman yells and speaks as birds chirp in the distance.
A camera rustles around as birds chirp and women speak
A tapping occurs and a girl speaks
A woman yells and fidgets over insect noises"
"What is happening in the audio?","A train moving down tracks, hissing steam and clanking metal repeatedly then a horn signaling","A steam engine runs and whistles as it passes by
A whistle blows as a train chugs by
A train chugs nearby while blowing a horn
A train chugs along as its steam whistle screeches loudly and it moves on the track
A steam train moves along a set of tracks and blows a horn"
"What is happening in the audio?","Water flowing and gurgling followed by loud thumping and shaking of a metal object","A muffled toilet flushes and the water drains
A toilet flushes and water drains
A toilet flushes and water drains
A toilet flushes once
A toilet flushes and water drains"
"What is happening in the audio?","Two men speak and laugh before a door closes downward followed by a banging on a surface","Banging metal, then crinkling paper, followed by a woman mumbling and a man grunting
Someone shuffles around objects and sighs
A door opens and plastic is crumpled
A clang followed by some plastic rustling
Paper rustles as objects bang and clatter"
"What is happening in the audio?","An engine works nearby with people speaking in the background as wind blows into a microphone on a","An engine increases in power as it runs
An aircraft making a sustained, high-pitched engine noise
An engine buzzing consistently
A high pitched engine runs
An aircraft engine runs"
"What is happening in the audio?","Two men talking as rain falls and wind blows into a microphone followed by a man speaking while","A man speaks as a vehicle engine idles
A man speaks as a vehicle engine idles
A man speaks with a low rumble in the background
Two adult men speak over an engine running
An adult male speaks over low engine noise"
"What is happening in the audio?","An orchestra plays music while a man delivers a speech nearby, and people applaud in","A large crowd cheers and applauds
An audience screams and gives applause
Continuous applause and cheering
An audience screams and gives applause
An audience cheers"
"What is happening in the audio?","Some people are laughing and talking while a motorcycle engine idles nearby, squeaking as","Popping and crackling repeats as men yell and laugh
A vehicle is running and crackling and popping as people laugh
People yell and laugh as a motor sputters and pops
Men screeching and shouting while a vehicle is revving and backfiring loudly
People yell and laugh as a vehicle approaches and sputters"
"What is happening in the audio?","Wind blows into a microphone as water splashes and gurgles, followed by rust","An engine idles consistently before sputtering some
A motorcycle engine is idling
A sputtering motor idles roughly
Sputtering and clanking of an idling powerful engine
An engine is idling while people speak"
"What is happening in the audio?","Birds are chirping and a goat baaing as wind blows into a micro","A toilet flushes quickly
A toilet flushes loudly and water runs down through the toilet and then gurgles at the bottom
A toilet flushes and water drains
A loud rumble followed by a toilet flushing
A toilet flushes and water drains"
"What is happening in the audio?","An engine idles and revs up while a man speaks briefly followed by a loud honk","Distant men speak as a spray can nozzle is depressed
While a man talks in the distance, a sprayer sprays multiple times
Intermittent spraying is accompanied by men speaking
A spray hisses followed by a man speaking and low rumbling in the background
A person sprays liquid onto a hard surface as a man speaks and vehicles pass by"
"What is happening in the audio?","Insects buzzing and rustling followed by a man speaking with wind sounds in background then","A man speaks as crickets sing
A man speaks as crickets sing
A man speaks as crickets sing
A man speaks as crickets sing
Insects chirp and men speak"
"What is happening in the audio?","People are talking while something is sizzling and a car engine starts up then revs its engine","Several insects fly while two men talk
Insects buzz and men speak
Many insects are buzzing as a man are speaking
Insects buzz as men speak
Insects buzz around and men talk"
"What is happening in the audio?","Man speaking and clanking of silverware on a plate while stirring food together with some light","A man talks followed by a woman shouting
A man speaks as water overflows making a hiss noise and a woman yells
A man speaks then a woman yells
A man speaks then a woman panics
An adult man speaks and a woman exclaims nervously"
"What is happening in the audio?","An emergency vehicle passes by with sirens on and off intermittently while traffic moves nearby followed","A motor vehicle roars, drowning out people speaking in the background
Water rushes and then a vehicle zooms past
Water rushes by followed by a motorcycle zooming by in the distance
A motor vehicle accelerate
A vehicle with a diesel engine accelerates"
"What is happening in the audio?","Someone says ""Hey, hey!"".."".""."".-.""..."" and","A motor runs and stops, and animals squawk and croak
Submachine gun fire along with creature sound effects that continues after gunfire stops
Gunshots fire as a frog croaks
A motor sputters, animals croak, and a person exclaims
A motor runs choppily, followed by an animal croaking, and a person exclaiming"
"What is happening in the audio?","Intermittent neighing and clip clopping followed by a man speaking then a woman laughing and","Birds chirp in the background while a horse neighs followed by a girl speaking
A young woman speaks and then a horse neighs in the background
A horse neighs and a girl talks
A bird tweets, a horse whinnies, and a girl speaks
Birds chirp then a girl speaks and a horse neighs"
"What is happening in the audio?","Boat motor running on water and then a person talking very softly at end of recording followed by","A soft wind underscores a woman laughing
Distant waters roar amid foreground jostling and a gasp
Water is gurgling in a tank
Water is gurgling in a tank
Water is gurgling in a tank"
"What is happening in the audio?","An adult male speaks while a vehicle passes by and wind blows into a microphone, some","Here comes the train and it starts to blow the horn and get close
A train horn sounds and railroad crossing ring
A train horn sounds and approaches as crossing bells ring
A horn is blown and increases in strength
A horn loudly blares"
"What is happening in the audio?","Someone speaks while another person snores nearby, and a can falls on the floor with a","Young female child snoring and breathing deeply
A recorded voice speaks briefly as a man snores
A man snores loudly as a recorded voice speaks in the background
A person snores as birds chirp softly in the distance
Distant faint rustling and clattering with nearby wheezing and snoring"
"What is happening in the audio?","Man speaking followed by gunshots and loud bangs of something hitting a hard surface while music plays","Some men converse over an engine running
A motorcycle engine revs and a man speaks
A man speaks as a small engine revs
A motorcycle engine revs as a man speaks
A motorcycle engine runs and a man speaks"
"What is happening in the audio?","Ticking and rumbling of a large engine, as well as some squeaking and","A consistent ticking pattern
A clock ticktocks continuously
A repeated ticking
The ticktock of a clock arm repeatedly moving back and forth
A clock ticktocks"
"What is happening in the audio?","Wind blows, a woman speaks and laughs while a pig oinks once as it","Water splashes and wind noise is made into a microphone
Water splashes and wind blows as birds chirp
The wind blares loudly against some clothing and water splashes in a river
Water splashes as wind noise takes place in a microphone
Water splashes and wind blows"
"What is happening in the audio?","Car motor running, wind blowing, car passing by quickly and getting farther away, man yelling","A race car approaches quickly and slows down squealing tires
A mechanical buzzing getting louder
A vehicle accelerates before slowing down and squealing tires
A race car approaches quickly squealing tires
A race car accelerates quickly before decelerating and squealing tires"
"What is happening in the audio?","Water runs into a sink and food sizzles nearby as music plays lightly in the background then","A man speaks while a machine runs before a smoke alarm beeps
A man speaks, followed by an electronic beep and another man speaking
A man speaks and a smoke alarm beeps
A man speaks then makes a device beep
A man speaks followed by a two beeps and another man speaking"
"What is happening in the audio?","Wind blows, water runs and people speak faintly in the background while a woman laughs loud","A boat engine runs and wind blows while a man speaks and women scream
A boat runs and wind blows while a man speaks and women cheer
An engine buzzing with wind and brief speech
Humming of a motor with people screaming then a woman speaks as wind blows hard and water splashes
Girls scream and a man speaks as wind blows and a boat motor runs"
"What is happening in the audio?","An engine running followed by a person speaking and more engines running in the background. then tapping no","A person uses a saw to cut some wood
An engine rumbling followed by a mechanical buzzing
An engine revs loudly followed by some men talking and a saw cutting through metal
An engine idles continuously
An engine runs and people speak as cutting takes place"
"What is happening in the audio?","Birds chirp and tweet while an older woman speaks followed by a man speaking briefly","Someone whistles a tune
Someone whistles a tune
A person is whistling
Someone whistles a song
A person whistling a melody"
"What is happening in the audio?","An engine chugging then revving up and accelerating away from a microphone while wind blow","A man speaks as a car is passing by
A man speaks as a car is passing by
A man talks while vehicles pass by
A man speaks and wind blows while a car is passing by
A man speaks while wind blows and a car is passing by"
"What is happening in the audio?","Someone laughs loudly nearby, and a baby hiccup-laughs as someone","Loud intermittent buzzing with intermittent laughter
A baby laugh at a sputter
Someone makes a blowing sound and a baby laughs
A person makes a snoring noise and a baby laughs
A person blows raspberries while a baby laughs"
"What is happening in the audio?","Someone snoring and breathing heavily followed by a man laughing softly then another person talking","Someone snores nearby
Continuous snoring
A person snores
Someone is snoring while sleeping
A person is snoring while sleeping"
"What is happening in the audio?","Ambient sound of a market. [A rooster crows, people talk and walk around]","Several ducks quack and cocks crow far away
Ducks quack continuously
Ducks quack lazily as other birds call out in the distance
A rooster crows and a duck quacks while people speak in the background
Cows moo and are then joined by rooster crowing and then ducks quacking"
"What is happening in the audio?","Man speaking with spraying sound in background and a whistle blows at end of speech","A man sprays as a scraping occurs in the background
A man speaks as a scratching occurs
A man speaks over soft spraying noises
A grown man speaks over soft rubbing
An adult male speaks over continuous rubbing noise"
